userID,itemID,prediction
1,2858,5.5217247
1,1196,5.1253014
1,1210,5.115444
1,2396,4.936722
1,912,4.742554
1,858,4.6113467
1,1198,4.55333
1,2716,4.403747
1,3114,4.397073
1,593,4.3866773
2,2028,5.8855915
2,1196,5.5166345
2,1036,5.453395
2,527,5.315883
2,260,5.3131194
2,377,5.300194
2,349,5.2454715
2,2916,5.215238
2,733,5.1397595
2,858,5.13753
3,1580,3.3131454
3,2916,3.1893432
3,457,3.1045506
3,1036,3.1043978
3,2571,3.0708072
3,1,3.0184672
3,1240,3.0037053
3,2000,3.0020216
3,589,2.9914618
3,356,2.977384
4,1127,3.220827
4,1196,2.8747563
4,3793,2.8722477
4,589,2.8071597
4,858,2.7489426
4,1198,2.6893988
4,3578,2.6316578
4,2858,2.6245399
4,480,2.6226654
4,1200,2.6188293
5,527,5.980337
5,2762,5.83278
5,2396,5.6588883
5,223,5.235758
5,3160,5.054894
5,1673,4.9708996
5,3481,4.9640136
5,34,4.877039
5,1358,4.8425527
5,1784,4.7809005
6,2396,4.117658
6,2858,4.103396
6,356,3.9926708
6,3114,3.8150463
6,1721,3.7638078
6,1,3.7290947
6,2355,3.7267504
6,34,3.6739407
6,1210,3.6038141
6,1265,3.5730798
7,589,3.9389422
7,480,3.7350993
7,2571,3.5203059
7,260,3.4545953
7,1214,3.2279382
7,1196,3.1616457
7,2858,3.1535213
7,2628,3.0768168
7,1210,3.025749
7,1617,2.9209607
8,608,4.846187
8,1704,4.813382
8,593,4.779645
8,318,4.744519
8,457,4.7331953
8,3418,4.4294524
8,110,4.426041
8,50,4.424931
8,356,4.4122005
8,2396,4.3152676
9,608,7.0902667
9,2396,7.055556
9,2997,6.993053
9,593,6.9586077
9,296,6.5873766
9,3481,6.51962
9,110,6.3579483
9,34,6.2808614
9,356,6.212504
9,3578,6.1509013
10,1097,6.622943
10,2080,6.5121336
10,1073,6.1782146
10,1265,6.173567
10,2918,6.0980134
10,1580,6.042693
10,34,6.0258055
10,2396,6.024108
10,1136,6.0122485
10,364,5.925876
11,2396,5.15249
11,34,5.100023
11,1784,4.98492
11,1,4.9233675
11,39,4.874354
11,3255,4.6969833
11,527,4.611054
11,1393,4.5762305
11,1517,4.5139465
11,1721,4.4893737
12,2858,4.1512117
12,608,3.892383
12,527,3.7827163
12,318,3.506793
12,296,3.4988136
12,1617,3.4108715
12,2396,3.3676558
12,2997,3.3372962
12,1213,3.2919111
12,1704,3.2554944
13,1196,6.250657
13,2916,6.1158214
13,1240,5.96069
13,1214,5.892512
13,1036,5.480424
13,1200,5.424265
13,2028,5.302985
13,1573,5.180658
13,3527,5.016512
13,858,4.9716883
14,2762,3.7703106
14,2716,3.6592073
14,110,3.4615479
14,527,3.4042397
14,356,3.3828962
14,2028,3.3553689
14,593,3.3500793
14,1210,3.2984557
14,2997,3.2763064
14,1198,3.2152162
15,110,6.7453127
15,2028,6.7257853
15,480,6.7241974
15,589,6.5671573
15,1580,6.510993
15,2959,6.456288
15,527,6.2531853
15,2628,6.211622
15,1721,6.157439
15,3623,6.1432176
16,2683,5.106229
16,2706,4.8345857
