userID,itemID,prediction
1,2858,6.953568
1,2396,6.900009
1,1210,6.6806707
1,3114,6.374875
1,912,6.20475
1,1196,6.0829887
1,1198,6.028158
1,34,5.9776525
1,920,5.947757
1,1265,5.8490186
2,2028,6.7714243
2,527,6.290898
2,1617,6.226593
2,608,6.1634502
2,296,6.132258
2,858,5.8912063
2,1196,5.847808
2,260,5.7933164
2,590,5.60231
2,1704,5.4229097
3,2916,5.7188115
3,589,5.7149825
3,1240,5.5767226
3,2571,5.483964
3,2628,5.4009104
3,1580,5.294853
3,1036,5.240065
3,1200,5.1879334
3,1214,5.177274
3,2000,5.1665645
4,589,3.6018891
4,541,3.305661
4,1200,3.2233663
4,1196,3.1929493
4,858,3.1703048
4,924,3.0594661
4,3703,3.0371225
4,2288,3.0262492
4,1127,3.022529
4,750,2.9752183
5,2762,6.0930686
5,527,5.962966
5,2396,5.8455033
5,2336,5.2121744
5,3160,5.0381064
5,223,4.9161654
5,3897,4.8976526
5,1094,4.859576
5,1358,4.844535
5,3578,4.8436155
6,2355,3.7387822
6,356,3.7320898
6,2396,3.683535
6,539,3.6441329
6,2080,3.5468762
6,1265,3.5351114
6,1,3.4646802
6,2424,3.4255838
6,11,3.4067173
6,597,3.372698
7,2858,4.89464
7,1617,4.0148826
7,2762,3.9186103
7,593,3.9072382
7,527,3.7071593
7,2997,3.7046483
7,608,3.6364906
7,589,3.6138608
7,2571,3.5265746
7,480,3.4734783
8,318,4.8290186
8,593,4.7595096
8,50,4.737969
8,1704,4.7116413
8,1617,4.5997944
8,608,4.4247503
8,457,4.2438307
8,1393,4.238904
8,3418,4.2152057
8,110,4.1710057
9,593,7.7723126
9,2997,7.7070327
9,2396,7.6317477
9,296,7.4071045
9,608,7.3928227
9,110,7.101066
9,356,6.926504
9,3578,6.8608193
9,50,6.85577
9,1265,6.7698774
10,1097,7.9287033
10,1580,7.178999
10,2080,6.9115963
10,1073,6.8663893
10,1265,6.7600894
10,364,6.714715
10,2396,6.5561166
10,2054,6.4857607
10,480,6.396656
10,2087,6.3537216
11,1784,6.0417194
11,2396,5.824267
11,1393,5.7080812
11,1,5.6702123
11,3255,5.4752707
11,39,5.453292
11,34,5.436162
11,1777,5.325613
11,1641,5.2212076
11,1517,5.2036023
12,2858,3.7858593
12,1617,3.5189526
12,608,3.4665022
12,296,3.278888
12,527,3.2581198
12,2997,3.1923976
12,318,3.132848
12,50,3.0469573
12,2028,2.9239619
12,2396,2.9228077
13,1240,6.895333
13,2916,6.8239775
13,1196,6.5652423
13,1200,6.3737106
13,1214,6.0234876
13,1356,5.989866
13,1036,5.943509
13,2985,5.8509636
13,2115,5.687524
13,3527,5.6226664
14,2997,2.7983432
14,2762,2.700198
14,3176,2.6870787
14,2599,2.5783231
14,2395,2.3401046
14,2710,2.3310897
14,2706,2.3224497
14,223,2.3217847
14,2908,2.3061817
14,2712,2.2810264
15,2028,7.4633203
15,110,7.1044455
15,589,6.897835
15,3623,6.778438
15,2959,6.7727785
15,2628,6.7335114
15,733,6.624256
15,480,6.4706626
15,527,6.4373574
15,1580,6.4351773
16,2683,5.8386736
16,2858,5.6850667
16,2706,5.464246
16,2710,5.332918
16,2997,5.249809
16,2762,5.163673
16,2688,5.0010347
16,2716,4.854751
16,3408,4.837471
16,2694,4.832703
17,589,7.6471186
17,2571,7.0816774
17,1210,6.816884
17,2628,6.67416
17,1240,6.527553
17,110,5.9605856
17,1198,5.8815527
17,2028,5.8215766
17,2858,5.611354
17,3702,5.4938703
18,356,5.036672
18,2571,4.8936853
18,2628,4.8181615
18,260,4.8093867
18,1198,4.764687
18,1197,4.743801
18,1610,4.6775885
18,780,4.668462
18,1265,4.6516643
18,733,4.5849705
19,260,7.9997873
19,1580,7.217866
19,1127,6.9192357
19,2716,6.8158703
19,1240,6.7849073
19,2916,6.7163076
19,2571,6.638869
19,2455,6.160051
19,2657,6.136404
19,1215,6.106605
20,1210,5.351668
20,260,5.2505407
20,1196,4.991901
20,1198,4.9277353
20,2628,4.7900863
20,1580,4.697305
20,2571,4.69588
20,858,4.659367
20,1270,4.640205
20,480,4.5920343
21,2683,3.8628814
21,2706,3.7374754
21,2396,3.7262545
21,2762,3.5910711
21,2694,3.4452128
21,2997,3.4336782
21,2716,3.4299886
21,2858,3.365218
21,223,3.344506
21,2770,3.3059022
22,356,5.927191
22,788,5.7835646
22,589,5.719416
22,2571,5.609531
22,367,5.505985
22,1,5.455518
22,377,5.4269314
22,588,5.3737946
22,1377,5.35805
22,1552,5.2823033
23,1210,8.145019
23,1198,7.547716
23,2028,7.162229
23,1270,7.13035
23,1097,7.1152945
23,593,6.9703503
23,608,6.788912
23,110,6.6523333
23,3471,6.5714355
23,1197,6.4067855
24,356,5.6906385
24,2396,5.480232
24,593,5.3870144
24,34,5.360349
24,1,5.3348026
24,1210,5.2197366
24,1393,5.0137243
24,357,4.983648
24,1617,4.9813
24,1097,4.913377
25,589,5.372244
25,2571,5.2552223
25,1127,5.1878767
25,1240,5.108735
25,2858,4.958865
25,3578,4.8232756
25,2916,4.790003
25,480,4.742937
25,2762,4.6878533
25,1200,4.623819
26,597,6.409652
26,587,5.945992
26,1265,5.549115
26,2671,5.5191345
26,141,5.436764
26,339,5.3797445
26,357,5.351522
26,708,5.3029323
26,231,5.2070103
26,2145,5.1333055
27,858,5.2920723
27,1230,5.2145047
27,1193,5.203375
27,1196,4.9354243
27,1210,4.857058
27,608,4.8409195
27,1198,4.8159666
27,1304,4.797921
27,1252,4.792487
27,750,4.756733
28,1617,5.79885
28,608,5.715769
28,858,5.52046
28,912,5.2566943
28,908,5.1681356
28,2028,5.135986
28,296,5.124602
28,260,4.984029
28,1221,4.9326453
28,1210,4.8353868
29,260,6.9390764
29,1214,6.8266673
29,3702,6.1325035
29,3703,6.062795
29,2985,5.992116
29,858,5.731361
29,2628,5.695084
29,1610,5.681251
29,2640,5.670062
29,924,5.622787
30,593,4.208329
30,318,3.920935
30,3578,3.5948138
30,2396,3.5207708
30,110,3.4956012
30,3160,3.407421
30,3897,3.3470852
30,3481,3.3311896
30,2599,3.3108342
30,3176,3.2910798
31,1028,4.163574
31,1079,3.7750185
31,914,3.6704028
31,1947,3.6283665
31,1294,3.6273878
31,899,3.597855
31,1278,3.5947034
31,898,3.5895393
31,1220,3.5855932
31,2915,3.5548556
32,2858,7.426882
32,593,5.802624
32,527,5.6713862
32,318,5.6055284
32,3481,5.578739
32,2997,5.499699
32,3897,5.4747076
32,3160,5.382004
32,296,5.3206215
32,1673,5.103837
33,858,7.5371876
33,1617,7.4553742
33,608,7.3971496
33,593,7.3270583
33,1193,7.1783056
33,541,7.0894866
33,1219,6.9985423
33,1270,6.8976827
33,1097,6.8292046
33,924,6.6172843
34,2716,5.5297365
34,356,5.1037
34,2355,5.041952
34,2918,5.03056
34,588,5.029981
34,1265,4.9055433
34,1777,4.895345
34,1517,4.789117
34,344,4.7247343
34,3255,4.7230964
35,899,5.381803
35,1307,5.340899
35,1304,5.138283
35,1244,5.0953975
35,1947,4.9053316
35,920,4.896708
35,898,4.868418
35,923,4.8599596
35,1234,4.7097454
35,3072,4.698316
36,1198,7.078662
36,2628,6.900693
36,593,6.6633167
36,1097,6.61025
36,1617,6.4872494
36,2762,6.430032
