userID,itemID,prediction
1,2858,4.9043584
1,2396,4.799812
1,34,4.75572
1,1210,4.612137
1,1196,4.571706
1,1265,4.4719205
1,912,4.418127
1,588,4.3671184
1,3114,4.2484384
1,364,4.150796
2,2028,5.7007685
2,1196,5.193926
2,527,5.1759415
2,608,5.0971212
2,377,5.095861
2,858,5.046884
2,1617,5.0212297
2,590,4.9653687
2,480,4.9200506
2,1036,4.913731
3,2028,4.728213
3,457,4.512025
3,589,4.419328
3,110,4.3643603
3,2571,4.296442
3,858,4.1849375
3,608,4.1680717
3,1610,4.1607194
3,1617,4.0966487
3,527,4.0595665
4,589,2.8247192
4,2571,2.7679021
4,1127,2.670679
4,1196,2.5943186
4,541,2.5678897
4,2916,2.417146
4,480,2.3457835
4,1198,2.314889
4,1221,2.2831166
4,2858,2.2805629
5,2762,5.162521
5,527,5.066012
5,2396,4.9897304
5,3578,4.8774633
5,223,4.621684
5,3160,4.6037045
5,1358,4.589826
5,2395,4.5584035
5,1094,4.4197097
5,1089,4.3831635
6,2858,4.4517045
6,1210,4.10415
6,1196,4.0941076
6,260,4.072521
6,2396,3.962699
6,1,3.933047
6,356,3.8752613
6,1097,3.8614821
6,34,3.7412503
6,3751,3.736007
7,589,4.095311
7,2571,4.0330877
7,480,3.8992987
7,2858,3.7425952
7,260,3.729631
7,2628,3.662206
7,1210,3.6188295
7,1196,3.409278
7,1198,3.2679472
7,3175,3.2237856
8,1617,4.917254
8,3578,4.8578525
8,608,4.69774
8,593,4.597574
8,110,4.5612016
8,318,4.51093
8,50,4.284164
8,2762,4.1624117
8,457,4.109623
8,6,4.0027633
9,2396,5.8524957
9,3578,5.83362
9,2997,5.607154
9,608,5.450146
9,593,5.314284
9,3481,5.2476516
9,50,5.22078
9,1265,5.08819
9,3160,5.0077047
9,3176,4.943888
10,1097,9.14152
10,1580,8.55472
10,1265,8.019209
10,2396,7.9001184
10,2791,7.8881626
10,480,7.8650374
10,2987,7.855432
10,34,7.7655377
10,2080,7.607055
10,1073,7.5059886
11,1,5.790559
11,2396,5.5903406
11,34,5.2326856
11,1784,5.0387745
11,39,4.9567666
11,1641,4.853593
11,3255,4.8289433
11,1517,4.806122
11,527,4.8043656
11,2324,4.723765
12,2858,4.7238617
12,1617,3.7888837
12,608,3.7313426
12,527,3.6214976
12,2396,3.6127295
12,480,3.5349586
12,2028,3.5170076
12,3578,3.511446
12,2997,3.4041152
12,589,3.3581028
13,1196,6.007403
13,2916,5.9552226
13,1240,5.8495774
13,1214,5.82814
13,2028,5.229431
13,1200,5.214713
13,1036,5.204588
13,541,5.1873503
13,858,5.133237
13,1527,4.977939
14,2762,2.7787492
14,2997,2.6494002
14,2028,2.489355
14,356,2.4251504
14,2683,2.4068813
14,527,2.3798606
14,3176,2.3470438
14,3408,2.3147345
14,1265,2.305651
14,1393,2.2593312
15,2959,4.995661
15,2710,4.9587
15,3623,4.8991594
15,2355,4.8053026
15,223,4.784904
15,2502,4.745602
15,2699,4.670386
15,2028,4.6246085
15,2700,4.5807905
15,2541,4.5101166
16,2683,5.0745425
16,2858,4.6196237
16,2706,4.4415393
16,2710,4.3200417
16,2762,4.30192
16,2716,4.239934
16,2688,4.2397857
16,2997,4.2389426
16,2396,4.209902
16,2694,4.0510273
17,589,6.998396
17,2571,6.806258
17,1210,6.415568
17,2628,5.9594183
17,1240,5.939951
17,110,5.534074
17,2858,5.4712753
17,1198,5.3883276
17,2028,5.3096056
17,3175,5.241585
18,260,6.5242634
18,1197,6.385617
18,780,6.3025055
18,2628,6.2564254
18,1270,6.112604
18,480,6.0477605
18,1198,5.9577284
18,2571,5.934187
18,1220,5.763102
18,356,5.7526026
19,260,7.152525
19,1580,6.8072915
19,2716,6.2714887
19,1127,6.196856
19,2571,6.036769
19,1240,5.6570973
19,1544,5.608691
19,2455,5.47812
19,780,5.464806
19,2916,5.3900533
20,2571,3.8697026
20,480,3.571283
20,3793,3.249947
20,2916,3.2384489
20,3624,3.1658044
20,3555,3.1334286
20,1196,2.9961333
20,858,2.9874277
20,1580,2.9329147
20,2628,2.925561
21,3114,2.321895
21,1566,2.3081238
21,2571,2.266678
21,1517,2.2560847
21,2628,2.185984
21,595,2.1798713
21,3175,2.156884
21,3159,2.124798
21,34,2.1126132
21,2396,2.0924127
22,589,6.866844
22,2571,6.7334113
22,377,6.5507293
22,1,6.335141
22,356,6.139461
22,1610,6.088267
22,1270,5.970636
22,21,5.8769784
22,733,5.8080206
22,2000,5.7781916
23,1210,8.140793
23,1097,7.5041704
23,1270,7.2379117
23,1198,7.09464
23,3471,6.622888
23,608,6.5475063
