userID,itemID,rating,timestamp
3692,3086,2,1676484834
5216,1673,5,1694958003
20,3755,5,1678825521
2797,178,4,1699626460
4235,3198,4,1689956397
2630,130,5,1671748322
1440,2151,1,1674001700
2072,1137,1,1684263300
201,3816,3,1677130277
83,1814,3,1678051755
1833,3658,2,1679770337
5920,3431,3,1675439857
494,1696,4,1685489168
1337,3433,5,1675145918
1022,3415,2,1677782413
5667,3107,5,1695553034
5537,2399,4,1683279761
3599,2560,2,1696817284
4366,876,5,1685070499
569,3882,2,1677394777
1658,512,2,1690586848
1761,1419,2,1694995727
531,633,4,1689897589
1190,1005,1,1680804065
5534,1180,5,1685574291
3459,3695,2,1695403129
808,1475,5,1681704729
3903,3060,1,1693944409
4060,1019,5,1676806389
1407,2945,5,1699934062
640,898,2,1681778328
5128,3177,4,1677736346
5618,2376,3,1691013193
2238,3327,5,1693871392
4131,2075,5,1698520951
1065,2020,4,1698722342
2133,3090,2,1679790081
374,1752,4,1680011961
5569,3716,5,1694470970
5435,1111,5,1675938668
5584,3201,5,1679696616
931,3117,2,1675132203
4226,2069,2,1684041341
3711,2603,4,1691969669
4023,9,4,1697463585
4667,2409,4,1676262495
983,105,5,1677926443
1463,1315,5,1693941577
2921,390,5,1675271921
781,3941,2,1678222689
299,535,4,1691238349
2017,3344,3,1683222250
3802,2932,4,1698440897
6031,2464,4,1685913069
1969,814,4,1693092238
4464,2533,5,1697966108
3581,5,2,1680612420
3283,3821,5,1685811867
534,2093,4,1691197351
4508,3333,1,1680739699
4663,3056,4,1690189428
5013,537,4,1700496524
124,143,4,1694382969
845,2272,4,1673042467
4476,1959,4,1679168362
1888,1793,4,1691437028
4109,3472,1,1688558967
1957,2912,5,1675519196
2067,3440,3,1684872053
970,3253,4,1688919014
3303,3634,5,1694268383
4908,2034,2,1692191589
591,3515,4,1693187882
426,3899,4,1688818059
3643,2437,5,1686005886
4633,1574,4,1680776817
5768,158,2,1672372323
3738,2976,2,1694523682
3313,2912,5,1680260816
3878,1023,4,1692774453
1185,2953,5,1683213851
2942,504,2,1692043562
5388,199,3,1672614751
5679,3728,4,1679977315
2574,3061,5,1698770813
796,3251,5,1685026097
2463,1154,5,1685437443
581,2806,5,1697867245
1589,3248,4,1688221748
4987,360,5,1684642045
140,3517,4,1688294335
1244,1898,5,1676658604
4300,3735,4,1696099101
3201,180,5,1682406779
2864,1731,4,1672302473
3063,1947,5,1685388345
2269,2742,1,1675570172
471,3071,1,1697085856
865,2584,1,1691395718
5608,2791,4,1694496958
5293,2142,5,1682352432
4730,493,3,1690533962
2967,1780,4,1690036744
4513,2101,3,1681110456
1818,2172,5,1698883344
3873,842,5,1694115924
615,581,1,1681361378
1597,2816,4,1675609609
3586,3374,5,1672103272
4233,14,4,1672582875
4109,3609,4,1693291603
3824,1040,2,1683590751
1593,3560,4,1692678815
3911,1738,3,1699255626
1975,3354,2,1699485963
5064,3491,4,1675325515
3831,3127,4,1690694305
3728,2825,3,1698121988
2100,712,3,1692546515
5345,580,1,1671554793
5994,1070,5,1702029358
1977,3602,1,1690918536
4747,1476,3,1686587629
1153,948,4,1672062467
5129,2852,4,1671165724
2899,2427,5,1671754061
3897,2519,2,1700660324
3816,2568,4,1699331061
5840,320,4,1674291305
4217,3180,5,1681317834
5243,3927,3,1676018065
718,459,2,1687247027
3567,3030,4,1687346905
2470,2522,2,1691232454
3980,2044,4,1682910238
2555,1304,4,1694105219
5191,399,5,1697300952
5668,3859,4,1673967571
3054,3776,5,1673051303
2798,1752,5,1673112462
1960,2278,5,1694290204
1786,2348,4,1691778786
252,1225,1,1686598104
9,1362,3,1677673848
3809,3359,5,1680223204
3617,3935,3,1699583784
2917,3112,4,1676688765
4833,3091,2,1679137593
686,691,5,1684959155
5675,3272,4,1678116588
2939,2743,4,1694335468
4419,3621,4,1684793515
4979,1043,3,1684859497
3789,3663,3,1688666148
2616,3923,1,1698573774
3471,1746,3,1671798885
1966,2356,2,1687087031
4466,503,4,1700908243
5324,267,5,1681364955
4992,1263,2,1689369110
1586,2260,5,1696908287
1793,1651,4,1681812357
568,3435,2,1693885023
4091,38,4,1701589712
2583,2071,5,1685550494
1530,2500,1,1692889207
1465,1034,3,1693146589
771,3589,4,1674790066
3264,2493,5,1691985996
5754,403,2,1677666975
552,176,4,1691125674
3893,1599,3,1699287513
2387,3887,1,1686399777
2368,2183,1,1671287076
1298,2296,5,1671278232
3109,292,4,1676899731
4080,234,4,1686454285
2348,3705,5,1673578215
5842,2282,5,1691500749
1689,2286,3,1676233078
2434,3735,4,1699889364
2688,252,3,1693193911
1122,1612,5,1698098115
571,794,4,1690899633
3440,214,4,1691203286
5861,2620,2,1683473118
252,3842,3,1701268614
139,1040,5,1700514150
594,2334,4,1678253232
1205,3096,3,1686332556
1679,431,5,1675257864
5747,1684,3,1683137655
936,456,3,1700656976
5258,1310,4,1697031461
5417,343,4,1674404428
41,3174,3,1687964534
5121,1927,4,1700341138
2273,2378,4,1685752379
4294,226,2,1675402958
641,1581,4,1701669328
4220,729,3,1687327005
4373,618,4,1671890388
280,200,4,1693067539
5684,601,4,1682208278
335,978,4,1681438967
842,3661,5,1699461334
2628,2335,4,1678822601
2691,3149,4,1683824540
5998,1524,3,1681159939
385,3946,5,1687392577
1573,3337,1,1686971942
5921,3459,1,1677259349
3399,1662,1,1693616835
5650,2902,5,1687287203
1062,717,4,1691606557
216,1557,4,1671114274
3803,636,4,1692331316
5375,1485,1,1674974019
3494,3143,4,1685943743
2871,424,2,1673621647
4683,2996,4,1676130025
5096,3047,4,1681016112
3715,2287,4,1685673540
490,3567,2,1698273538
3999,680,3,1691521353
3420,3128,4,1680255737
943,1499,2,1689272588
2492,976,5,1700224409
338,3341,1,1698458914
1063,1730,5,1679766224
4610,1086,1,1675978441
2337,1944,4,1692524035
6008,1863,5,1690189259
156,3022,4,1697065508
5871,3471,5,1701455277
2611,1605,5,1689359549
528,3918,2,1694976809
184,1289,1,1690348623
2459,236,4,1682267568
4251,473,5,1687014284
97,937,5,1695367729
1650,3164,4,1677920671
5695,1346,5,1675562768
716,1630,5,1678848975
4254,3818,5,1682009184
51,703,4,1698348059
2380,2476,5,1701965474
3131,1878,5,1696862123
5611,3862,5,1688340236
1646,3582,3,1672142423
4408,3579,4,1701976814
5006,227,4,1695320915
1179,124,2,1684882979
2286,3669,1,1671776759
5525,2951,4,1672290529
1992,3492,4,1681971587
744,627,4,1682422524
4304,2828,5,1674834466
2747,391,1,1696169740
2710,3675,4,1688431869
2118,3892,1,1689528203
3773,845,2,1677034841
2634,3532,3,1689627468
1060,1347,3,1675194850
863,3763,4,1673343322
446,3506,3,1676114840
4316,2190,1,1674764619
4622,1006,3,1682478529
177,760,3,1682914708
4235,1159,5,1690897175
5536,633,4,1679941391
84,2312,5,1692717146
3931,2809,1,1692446605
4567,366,4,1694734384
4016,2422,4,1681992149
3470,3839,1,1684813598
283,1482,5,1684398888
1555,2116,5,1700120552
4537,897,2,1693497919
4705,1253,4,1702028118
528,2580,5,1683748634
65,1748,5,1684616765
2083,3193,4,1694925286
4901,3374,5,1684881987
2527,3337,5,1685348523
4340,2936,3,1683969143
1211,1285,4,1686668535
4117,813,5,1672950127
2143,726,1,1679750001
4658,3262,4,1698871824
5746,3281,1,1681441221
4414,2006,5,1695110197
4649,1177,4,1676809184
4413,2569,4,1692029525
2817,2125,5,1678373271
4815,532,3,1684373903
3040,2084,4,1683544509
2529,139,5,1698137107
215,1933,3,1671025363
3660,3360,1,1674433834
10,1681,1,1679972062
2134,3946,5,1671101646
4577,1198,4,1674039087
3582,2416,4,1682347107
5143,3380,1,1698325351
1373,2587,4,1673944325
191,190,5,1695460066
5088,1209,3,1691462716
973,639,4,1672079113
5654,1423,5,1688958251
1368,1878,4,1682528683
1259,1450,5,1701794228
936,1179,1,1685309188
3992,3921,4,1683655672
3150,2091,5,1678080430
4664,137,2,1677170946
3089,2203,4,1691458775
3424,1793,5,1683194700
1886,3898,5,1673021815
4925,1855,5,1679222502
283,3580,4,1696203816
5291,3590,5,1689249644
3320,3323,4,1700733935
2899,397,4,1679583931
2220,298,5,1700285275
1465,425,3,1685895917
2507,2753,2,1683172501
3959,1473,4,1676377025
4529,276,3,1692298723
2545,3590,5,1695292875
5964,676,4,1680528443
3504,3521,4,1679820984
2351,2924,4,1672511817
3760,1178,5,1687995383
475,2239,4,1694156395
5416,319,3,1687708293
2949,998,3,1674142970
3604,3474,5,1687537024
1316,1077,3,1697317171
2491,1332,2,1698693496
2654,823,5,1678203994
2303,3488,5,1688852340
363,3255,2,1700931000
5046,2609,5,1682057278
4951,108,4,1694106428
785,2038,4,1673985574
4126,3537,5,1693886835
2208,2528,4,1695938631
3938,3942,4,1676344725
385,1467,5,1693766343
2654,2898,5,1674982357
4137,380,1,1701120898
3879,2482,5,1670911923
4937,1857,4,1671499114
5696,3862,5,1697535426
654,1936,5,1684182992
5068,1226,4,1681973323
1135,516,4,1688120784
3057,721,5,1699998092
3678,3175,4,1674981496
